word,han,ham,hun,hende
begiver,1.6164210284263596,2.010640543171324,3.3743453418976217,0.0
begrave,0.0,4.408535815969694,0.0,0.0
begravede,1.5781998156061616,3.7641787995791813,0.0,4.747111102787686
begraver,1.241727578984949,2.3290942742898584,0.0,0.0
begraves,1.8013433669203716,1.7900977735571715,0.0,0.0
begravet,0.18774744433760754,2.574397123772778,0.0,0.0
begrundede,2.7821726199320977,0.0,0.0,0.0
begrunder,1.8013433669203718,0.0,3.1538025722834693,0.0
begrundet,0.7897424552418917,0.0,0.0,0.0
begræder,2.964494176726052,3.3587136914710167,0.0,0.0
begrænse,0.0,1.1180040021950584,0.0,0.0
begrænser,2.358358373155737,0.0,0.0,0.0
begunstiger,3.475319800492043,0.0,0.0,0.0
begynde,-0.625669304448726,0.23855383954197382,0.0,0.0
begynder,1.4192470198200366,0.549774495537443,1.4279714784820399,0.0
begyndt,-0.8264905003250375,-0.43227098558007326,0.0,0.0
begyndte,2.0232987656718224,0.5347870329830049,1.8497016675398708,0.6704214758043062
begå,-0.4565058322322828,0.0,0.0,0.0
begået,0.0,1.6600446453089739,0.0,3.336124129077424
begår,1.0774245276936725,0.0,1.7367365524968248,0.0
begære,0.0,1.8326573879759673,0.0,0.0
begæret,0.0,0.0,0.0,3.157875897671105
behage,0.0,4.214379801528737,0.0,0.0
behager,0.0,4.326297717732722,0.0,0.0
behandle,-0.40967453254818387,2.0639865238766166,0.0,3.8578490433014503
behandlede,2.2385571733431164,3.836749492414017,0.0,4.308856171856531
behandler,2.2011427374928583,1.9892264486675075,0.0,0.0
behandles,0.5485803984250036,0.0,0.0,0.0
behandlet,-0.31641703906160107,1.464096836803254,0.0,3.951106536788033
beholde,-0.5074722758243102,1.96618878060049,1.538134110098733,2.661439011357214
beholder,2.008982731698616,0.0,2.9559768289535495,0.0
beholdt,2.3767075118239336,0.0,0.0,4.4470065103373475
behøve,0.0,2.6167763467416396,0.0,0.0
behøvede,2.886162333456145,1.3708393433166712,3.02222621449475,0.0
behøver,0.8087531883768269,0.6433569151863687,1.6969067856088271,0.0
behøves,1.1081961863604264,0.0,0.0,0.0
bekende,-0.18395918384560253,2.156170479954675,0.0,0.0
bekender,0.4603297103336376,2.646308694306657,1.407323807588571,0.0
bekendt,0.0,-0.19663437001839695,0.0,0.0
bekendte,1.7407187451039365,1.3240080436325723,1.5891005536907603,0.0
bekendtgjorde,2.7821726199320977,0.0,0.0,0.0
bekendtgjort,0.0,4.275004423345172,0.0,0.0
bekendtgør,3.1876377280402624,0.0,0.0,0.0
beklagede,2.271346996166107,0.0,0.0,0.0
beklager,1.6294931099937124,0.0,0.0,0.0
bekræfte,0.0,1.7492757790369162,0.0,4.236285479021696
bekræftede,2.1315850537909484,3.6244168572040225,0.0,0.0
bekræfter,1.6071873524794142,0.0,0.0,0.0
bekræftet,0.26313296377463896,0.0,0.0,0.0
