,word,frequency,han,ham,hun,hende
177,bedste,1520,0.0,0.0,-1.0421751795250984,0.0
178,bedt,319,-0.4828426166534097,2.9990990362518253,1.2304999523996747,1.7443610113373862
179,befalede,30,3.1011242501416567,3.7208650221174233,0.0,4.075564909637086
180,befaler,34,2.7433746150731593,2.1309717057562927,0.0,3.871965954395845
181,befalet,42,0.0,2.724035427759256,0.0,3.771882495838863
182,befandt,81,2.39197672823527,0.0,0.0,0.0
183,befinder,418,1.5982423107701562,-0.266923567042078,1.653356803219708,0.0
184,befri,112,-0.13818651314085106,1.041170046770338,0.0,2.7821642954098906
185,befriede,38,0.9516151458451036,3.7404096181903927,0.0,3.871965954395845
186,befrier,72,2.090501333651153,1.4780984243342874,0.0,0.0
187,befries,34,1.033853244082076,0.0,0.0,0.0
188,befriet,92,0.04590652330148565,2.3238753718807845,0.0,0.0
189,befundet,17,1.7559879615152734,0.0,0.0,0.0
190,begav,40,2.5097597638916533,0.0,3.306811601070583,0.0
191,begik,15,0.0,0.0,3.594493673522364,0.0
192,begiver,53,0.6189093920193676,0.0,2.3322519610724517,0.0
193,begrave,41,0.0,2.724035427759256,0.0,4.465029676398808
194,begravede,31,1.1552141010863433,3.9440085734316326,2.8685566701394274,4.075564909637086
195,begraver,26,0.0,3.2036085080211416,0.0,0.0
196,begraves,23,2.1468542702022853,0.0,0.0,0.0
197,begravet,199,-0.015968880416601817,2.549682040614478,1.0042265080765371,0.0
198,begrunder,11,2.1913060327731193,0.0,0.0,0.0
199,begrænse,68,0.0,2.6476624489746814,0.0,0.0
200,begrænsede,69,0.0,0.0,0.0,3.2754456095249718
201,begrænser,34,0.0,2.242197340866517,0.0,0.0
202,begunstiger,1,4.589201305571491,0.0,0.0,0.0
203,begynde,678,-0.15573082279176054,0.0,0.0,0.0
204,begynder,1564,1.4441619964919543,0.1957703204550914,1.8824358395353724,0.0
205,begyndt,365,0.7605599090823946,-0.13952507268625242,1.0876081170155882,0.0
206,begyndte,784,1.9387297746717909,0.8844941130758855,1.929305745983772,0.0
207,begå,116,-0.1729726292262666,1.6995311112448674,0.0,0.0
208,begået,95,0.0,0.0,2.431342863716683,4.331498283774286
209,begår,64,1.5289305108799276,0.0,0.0,0.0
210,begære,20,0.0,2.7728255919286875,0.0,0.0
211,behager,14,0.0,4.446802025500358,0.0,0.0
212,behandle,119,0.0,3.2920194653651946,0.0,4.116722982130592
213,behandlede,18,2.39197672823527,0.0,0.0,4.6191803562260665
214,behandler,93,1.8483612816462889,2.6222527334493133,1.7699443814713178,2.9769526209689747
215,behandlet,68,0.0,1.491891746466623,0.0,0.0
216,beholde,123,0.0,3.2508613928716867,0.0,4.2987084609512936
217,beholder,26,1.2933644395671604,2.472720999478349,0.0,0.0
218,beholdt,37,2.337909506964994,3.2295839944244022,4.051252076018078,0.0
219,behøvede,116,2.7259828723612896,0.0,3.1583915959523097,2.7559619230158656
220,behøvedes,2,4.589201305571491,0.0,0.0,0.0
221,behøver,1068,0.9801490651102148,1.27711644482293,1.2721059532321386,0.533204043674482
222,bekende,95,0.6095196516695286,2.482023392140663,0.0,0.0
223,bekender,184,1.7559879615152734,2.616890790307928,1.7645824383299324,0.0
224,bekendt,258,0.0,0.18130920708242892,0.0,0.0
225,bekendte,87,0.8050116716532284,1.291221051004472,1.8252070601463677,0.0
226,bekendtgjorde,8,0.0,0.0,4.223102332944738,0.0
227,bekendtgør,3,0.0,0.0,0.0,6.410939825454121
228,beklagede,10,3.3852285012455536,0.0,0.0,0.0
229,beklager,27,1.2219054755850156,0.0,4.03386033330621,4.142256284135756
230,beklaget,2,0.0,5.075410684922733,0.0,0.0
231,beklæder,2,3.896054125011544,0.0,0.0,0.0
232,bekræfte,60,0.0,2.7400357691056967,0.0,0.0
233,bekræftede,11,2.1913060327731193,3.370662592684308,0.0,0.0
234,bekræfter,123,2.0475993121069442,0.9243707790240872,0.0,3.3585122082235848
235,bekræftet,115,0.0,0.0,2.2250064307188544,0.0
236,bekymrede,193,-0.04552768265814616,2.050119609127198,0.0,0.0
237,bekymrer,167,0.857501854274625,0.6505640530659232,0.0,2.391558301705476
238,bekymret,128,1.5211483704378723,1.6018926416809516,0.0,2.6497397097605586
239,bekæmpede,13,0.0,3.2036085080211416,0.0,0.0
240,belønnede,2,0.0,5.075410684922733,0.0,0.0
241,belønnes,22,0.0,0.0,3.2115014212662585,0.0
242,bemægtige,12,0.0,3.2036085080211416,0.0,0.0
243,bemærkede,13,1.8166125833317084,0.0,0.0,0.0
244,bemærker,29,0.0,3.027717841557477,2.8685566701394274,0.0
245,bemærket,58,0.0,0.0,2.1754094895794824,0.0
246,benyttede,6,2.7974418363434346,0.0,0.0,0.0
247,benytter,37,2.3645777540471555,0.0,0.0,0.0
248,benådet,16,0.0,0.0,0.0,5.430110572442395
249,benægtede,13,3.816011417338008,3.2036085080211416,0.0,0.0
250,benægter,20,2.979763393137389,2.7728255919286875,0.0,0.0
251,benægtet,4,3.896054125011544,0.0,0.0,0.0
